LIFESTAGE,PREMIUM_CUSTOMER,total_sales,total_units,num_customers,num_txns,avg_unit_price,avg_spend_per_customer,avg_txns_per_customer,sales_pct
MIDAGE SINGLES/COUPLES,Budget,33345.7,8883,1474,4661,3.74,22.62,3.16,1.85
MIDAGE SINGLES/COUPLES,Mainstream,84734.25,21213,3298,11034,3.99,25.69,3.35,4.69
MIDAGE SINGLES/COUPLES,Premium,54443.85,14400,2369,7564,3.77,22.98,3.19,3.02
NEW FAMILIES,Budget,20607.45,5241,1087,2813,3.92,18.96,2.59,1.14
NEW FAMILIES,Mainstream,15979.7,4060,830,2181,3.92,19.25,2.63,0.89
NEW FAMILIES,Premium,10760.8,2769,575,1483,3.87,18.71,2.58,0.6
OLDER FAMILIES,Budget,156863.75,41853,4611,21322,3.75,34.02,4.62,8.69
OLDER FAMILIES,Mainstream,96413.55,25804,2788,13131,3.74,34.58,4.71,5.34
OLDER FAMILIES,Premium,75242.6,20239,2231,10302,3.72,33.73,4.62,4.17
OLDER SINGLES/COUPLES,Budget,127833.6,32883,4849,17078,3.88,26.36,3.52,7.08
OLDER SINGLES/COUPLES,Mainstream,124648.5,32607,4858,16958,3.81,25.66,3.49,6.91
OLDER SINGLES/COUPLES,Premium,123531.55,31693,4682,16472,3.89,26.38,3.52,6.84
RETIREES,Budget,105916.3,26932,4385,14147,3.92,24.15,3.23,5.87
RETIREES,Mainstream,145168.95,37677,6358,19878,3.84,22.83,3.13,8.04
RETIREES,Premium,91296.65,23266,3812,12180,3.92,23.95,3.2,5.06
YOUNG FAMILIES,Budget,129717.95,34482,3953,17629,3.76,32.82,4.46,7.19
YOUNG FAMILIES,Mainstream,86338.25,23194,2685,11860,3.72,32.16,4.42,4.78
YOUNG FAMILIES,Premium,78571.7,20901,2398,10701,3.76,32.77,4.46,4.35
YOUNG SINGLES/COUPLES,Budget,57122.1,15500,3647,8547,3.66,15.66,2.34,3.16
YOUNG SINGLES/COUPLES,Mainstream,147582.2,36225,7917,19482,4.07,18.64,2.46,8.18
YOUNG SINGLES/COUPLES,Premium,39052.3,10575,2480,5834,3.67,15.75,2.35,2.16
